loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,fico_range_low,fico_range_high,loan_status,credit_risk
28654,36 months,22.407219396953494,414.5557348781369,B,2-4 years,OTHER,85261.06570609368,Source Verified,credit_card,1.5190387027842611,3,688,744,Charged Off,0
20795,60 months,13.496874094201653,202.68620639914002,G,2-4 years,OWN,95806.61704887301,Not Verified,small_business,39.78376748887761,4,632,736,Fully Paid,0
5860,60 months,23.119169288219037,236.1221458614411,B,5-9 years,MORTGAGE,95265.49163845456,Verified,credit_card,19.279447473056237,3,696,834,Charged Off,0
10390,36 months,6.633908519973559,302.7852369561116,A,<1 year,OTHER,27086.550566917416,Verified,home_improvement,30.240169670963084,4,789,740,Fully Paid,0
34802,36 months,12.88225844576526,325.8699952062682,A,2-4 years,MORTGAGE,60825.69489939622,Not Verified,car,18.09256140205342,1,678,897,Fully Paid,1
26575,36 months,18.48728230938343,865.554452057024,B,10+ years,OTHER,84895.86308937313,Not Verified,home_improvement,1.7268116345176576,2,615,863,Fully Paid,0
16964,60 months,24.76807912097409,605.1005094542725,F,10+ years,OTHER,48155.29413154132,Verified,small_business,12.384029803420002,4,643,752,Fully Paid,0
16284,36 months,12.968812573301747,571.0518202369299,E,5-9 years,OTHER,133441.3651131665,Source Verified,small_business,12.804405640236048,2,785,898,Charged Off,0
27118,60 months,20.647284410925227,203.29198468229572,B,<1 year,OWN,31324.207629986424,Verified,small_business,33.53411616196064,3,719,775,Fully Paid,0
11265,36 months,27.149443705904677,874.1257240144914,A,<1 year,MORTGAGE,83359.97741736558,Verified,small_business,26.169199119994975,1,829,804,Fully Paid,1
21850,36 months,20.396579704557617,750.5328728876353,B,10+ years,RENT,109884.08747670977,Not Verified,credit_card,11.017196145578914,4,733,831,Fully Paid,1
34910,36 months,10.823986868840844,160.9015257100014,F,1 year,RENT,54027.64301748272,Not Verified,car,38.70959818636344,3,707,762,Charged Off,0
9426,36 months,5.61001953891345,737.0515875067919,B,5-9 years,RENT,101151.29580967737,Verified,small_business,12.861673295914855,0,816,653,Fully Paid,0
26962,60 months,26.752471847523246,589.1843956083815,E,5-9 years,RENT,127820.0695185087,Source Verified,home_improvement,39.929361033148815,3,742,737,Fully Paid,0
19423,60 months,5.531735271259678,173.55281117210043,D,10+ years,OTHER,44743.80676235618,Verified,small_business,39.84654772681053,2,603,800,Fully Paid,0
33020,36 months,26.867541817104986,512.4705773757908,F,10+ years,MORTGAGE,139238.67693723217,Verified,car,7.648420709869672,1,655,825,Fully Paid,0
16363,36 months,18.2234283506803,536.2266584170422,A,1 year,MORTGAGE,91962.60924610654,Source Verified,home_improvement,12.509644647536007,1,663,860,Fully Paid,1
32495,60 months,28.476692462822406,249.19708614694818,E,1 year,OWN,58900.160559137876,Verified,home_improvement,19.441767939386168,3,795,819,Charged Off,0
21023,60 months,24.969580894341636,951.1283323002541,B,<1 year,MORTGAGE,76011.57579969519,Verified,home_improvement,26.564026845915638,0,821,652,Fully Paid,0
13322,60 months,29.948352763333435,864.9778343325958,B,5-9 years,MORTGAGE,60584.94489223044,Not Verified,credit_card,21.121897960151973,2,761,740,Fully Paid,0
6685,60 months,13.767795386292754,702.1201035961975,D,5-9 years,MORTGAGE,114264.4507913311,Source Verified,small_business,38.77765876529027,3,818,652,Fully Paid,1
5769,36 months,24.17970722327817,516.0660049005464,A,10+ years,OWN,123519.08624396718,Not Verified,credit_card,28.959566569427658,3,694,805,Fully Paid,0
31967,60 months,15.048272840231053,470.58898742605766,A,<1 year,RENT,128281.86100142593,Not Verified,home_improvement,8.481793975318975,1,655,840,Fully Paid,1
28333,36 months,16.99689050759772,685.8761204358588,C,5-9 years,MORTGAGE,148149.87244614636,Source Verified,credit_card,4.2039020085455325,2,631,730,Current,0
7433,60 months,20.68763658045925,590.888682466215,A,<1 year,OWN,122866.95802456886,Source Verified,credit_card,27.53605162837427,0,835,808,Charged Off,0
10311,60 months,26.84192785465847,156.04579529369704,D,<1 year,OWN,98179.92918951323,Verified,credit_card,6.3380976072305195,1,830,787,Charged Off,1
10051,60 months,29.60208672998238,561.2523838932985,G,10+ years,OTHER,64098.638790931895,Not Verified,small_business,31.507073613430165,3,715,826,Charged Off,1
11420,60 months,24.206835346612955,825.7632555095555,C,<1 year,OWN,90797.40833239742,Source Verified,home_improvement,12.441466690413478,1,608,863,Fully Paid,0
22568,60 months,15.444169554183343,513.3158898372623,C,1 year,RENT,25338.862462752706,Not Verified,home_improvement,13.07573052222426,1,790,743,Fully Paid,0
25939,36 months,15.533925056926755,146.76091979884157,B,1 year,MORTGAGE,116827.25981888869,Not Verified,small_business,0.43193569558047873,4,704,775,Fully Paid,1
24769,36 months,23.439557539722287,807.6503794456298,B,2-4 years,OWN,77974.22086197324,Source Verified,credit_card,28.040450683801627,1,799,762,Fully Paid,0
33693,60 months,10.969428644207557,281.22740392237694,A,10+ years,RENT,22603.01986518439,Verified,credit_card,4.530790122587431,1,677,798,Fully Paid,0
11396,60 months,7.761852828284867,332.75875139923494,C,2-4 years,OWN,28125.902396353405,Not Verified,car,30.915223098540725,2,760,749,Fully Paid,1
34419,36 months,13.865553941019414,248.2357180890663,B,1 year,OWN,70370.64029682837,Source Verified,car,19.67471287668827,1,686,702,Fully Paid,0
32480,60 months,12.180974791352043,397.1935583843478,D,2-4 years,OWN,95844.79747239656,Verified,car,31.371192598182766,0,620,736,Charged Off,0
13666,60 months,12.407703011399752,781.0763551197715,B,10+ years,OWN,80346.51336377647,Not Verified,small_business,23.357061567909653,3,654,879,Fully Paid,0
30658,36 months,10.840193776247748,567.4472735535436,F,10+ years,OWN,100496.56124798013,Source Verified,home_improvement,3.29733088075963,2,675,853,Charged Off,0
23942,60 months,6.052329740909047,284.39314673564127,F,<1 year,RENT,82438.25364287625,Not Verified,car,30.626093468207323,1,784,738,Fully Paid,0
29233,60 months,5.4468483683353455,890.0470703368368,B,5-9 years,MORTGAGE,106021.49991257508,Source Verified,home_improvement,2.7919793957899897,0,729,703,Fully Paid,0
23431,36 months,29.693059743400788,891.6236694563763,C,<1 year,MORTGAGE,48486.38840720411,Source Verified,home_improvement,19.14806882277329,3,740,834,Fully Paid,0
7747,36 months,15.694328343396558,883.5205825414063,G,10+ years,MORTGAGE,34669.614333870784,Not Verified,home_improvement,6.893968565798532,2,725,669,Fully Paid,0
